UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 13:54 ?        00:00:03 /sbin/init splash
root           2       0  0 13:54 ?        00:00:00 [kthreadd]
root           3       2  0 13:54 ?        00:00:00 [rcu_gp]
root           4       2  0 13:54 ?        00:00:00 [rcu_par_gp]
root           5       2  0 13:54 ?        00:00:00 [slub_flushwq]
root           6       2  0 13:54 ?        00:00:00 [netns]
root           7       2  0 13:54 ?        00:00:00 [kworker/0:0-cgroup_destroy]
root           8       2  0 13:54 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 13:54 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 13:54 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 13:54 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 13:54 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 13:54 ?        00:00:03 [rcu_sched]
root          15       2  0 13:54 ?        00:00:00 [migration/0]
root          16       2  0 13:54 ?        00:00:00 [idle_inject/0]
root          18       2  0 13:54 ?        00:00:00 [cpuhp/0]
root          19       2  0 13:54 ?        00:00:00 [cpuhp/1]
root          20       2  0 13:54 ?        00:00:00 [idle_inject/1]
root          21       2  0 13:54 ?        00:00:00 [migration/1]
root          22       2  0 13:54 ?        00:00:00 [ksoftirqd/1]
root          24       2  0 13:54 ?        00:00:00 [kworker/1:0H-kblockd]
root          25       2  0 13:54 ?        00:00:00 [cpuhp/2]
root          26       2  0 13:54 ?        00:00:00 [idle_inject/2]
root          27       2  0 13:54 ?        00:00:00 [migration/2]
root          28       2  0 13:54 ?        00:00:00 [ksoftirqd/2]
root          29       2  0 13:54 ?        00:00:00 [kworker/2:0-events]
root          30       2  0 13:54 ?        00:00:00 [kworker/2:0H-events_highpri]
root          31       2  0 13:54 ?        00:00:00 [cpuhp/3]
root          32       2  0 13:54 ?        00:00:00 [idle_inject/3]
root          33       2  0 13:54 ?        00:00:00 [migration/3]
root          34       2  0 13:54 ?        00:00:00 [ksoftirqd/3]
root          36       2  0 13:54 ?        00:00:00 [kworker/3:0H-events_highpri]
root          37       2  0 13:54 ?        00:00:00 [cpuhp/4]
root          38       2  0 13:54 ?        00:00:00 [idle_inject/4]
root          39       2  0 13:54 ?        00:00:00 [migration/4]
root          40       2  0 13:54 ?        00:00:00 [ksoftirqd/4]
root          42       2  0 13:54 ?        00:00:00 [kworker/4:0H-kblockd]
root          43       2  0 13:54 ?        00:00:00 [cpuhp/5]
root          44       2  0 13:54 ?        00:00:00 [idle_inject/5]
root          45       2  0 13:54 ?        00:00:00 [migration/5]
root          46       2  0 13:54 ?        00:00:00 [ksoftirqd/5]
root          48       2  0 13:54 ?        00:00:00 [kworker/5:0H-events_highpri]
root          49       2  0 13:54 ?        00:00:00 [cpuhp/6]
root          50       2  0 13:54 ?        00:00:00 [idle_inject/6]
root          51       2  0 13:54 ?        00:00:00 [migration/6]
root          52       2  0 13:54 ?        00:00:00 [ksoftirqd/6]
root          53       2  0 13:54 ?        00:00:00 [kworker/6:0-events]
root          54       2  0 13:54 ?        00:00:00 [kworker/6:0H-events_highpri]
root          55       2  0 13:54 ?        00:00:00 [cpuhp/7]
root          56       2  0 13:54 ?        00:00:00 [idle_inject/7]
root          57       2  0 13:54 ?        00:00:00 [migration/7]
root          58       2  0 13:54 ?        00:00:00 [ksoftirqd/7]
root          60       2  0 13:54 ?        00:00:00 [kworker/7:0H-events_highpri]
root          61       2  0 13:54 ?        00:00:00 [cpuhp/8]
root          62       2  0 13:54 ?        00:00:00 [idle_inject/8]
root          63       2  0 13:54 ?        00:00:00 [migration/8]
root          64       2  0 13:54 ?        00:00:00 [ksoftirqd/8]
root          66       2  0 13:54 ?        00:00:00 [kworker/8:0H-kblockd]
root          67       2  0 13:54 ?        00:00:00 [cpuhp/9]
root          68       2  0 13:54 ?        00:00:00 [idle_inject/9]
root          69       2  0 13:54 ?        00:00:00 [migration/9]
root          70       2  0 13:54 ?        00:00:00 [ksoftirqd/9]
root          72       2  0 13:54 ?        00:00:00 [kworker/9:0H-events_highpri]
root          73       2  0 13:54 ?        00:00:00 [cpuhp/10]
root          74       2  0 13:54 ?        00:00:00 [idle_inject/10]
root          75       2  0 13:54 ?        00:00:00 [migration/10]
root          76       2  0 13:54 ?        00:00:00 [ksoftirqd/10]
root          78       2  0 13:54 ?        00:00:00 [kworker/10:0H-events_highpri]
root          79       2  0 13:54 ?        00:00:00 [cpuhp/11]
root          80       2  0 13:54 ?        00:00:00 [idle_inject/11]
root          81       2  0 13:54 ?        00:00:00 [migration/11]
root          82       2  0 13:54 ?        00:00:00 [ksoftirqd/11]
root          84       2  0 13:54 ?        00:00:00 [kworker/11:0H-events_highpri]
root          85       2  0 13:54 ?        00:00:00 [kdevtmpfs]
root          86       2  0 13:54 ?        00:00:00 [inet_frag_wq]
